O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
51-9191.00	2.C.1.a	Administration and Management	LV	2.42	24	0.4524	1.4812	3.3530	N	N	07/2015	Incumbent
51-9191.00	2.C.1.b	Administrative	IM	2.10	24	0.1937	1.7035	2.5047	N	n/a	07/2015	Incumbent
51-9191.00	2.C.1.b	Administrative	LV	1.46	24	0.3754	0.6869	2.2402	N	N	07/2015	Incumbent
51-9191.00	2.C.1.c	Economics and Accounting	IM	1.78	24	0.2570	1.2460	2.3092	N	n/a	07/2015	Incumbent
51-9191.00	2.C.1.c	Economics and Accounting	LV	1.28	24	0.4597	0.3291	2.2312	N	N	07/2015	Incumbent
51-9191.00	2.C.1.d	Sales and Marketing	IM	2.20	24	0.2797	1.6262	2.7833	N	n/a	07/2015	Incumbent
51-9191.00	2.C.1.d	Sales and Marketing	LV	1.83	24	0.5036	0.7851	2.8686	N	N	07/2015	Incumbent
51-9191.00	2.C.1.e	Customer and Personal Service	IM	2.95	24	0.3123	2.2992	3.5913	N	n/a	07/2015	Incumbent
51-9191.00	2.C.1.e	Customer and Personal Service	LV	2.49	23	0.4024	1.6519	3.3211	N	N	07/2015	Incumbent
51-9191.00	2.C.1.f	Personnel and Human Resources	IM	2.27	24	0.2538	1.7457	2.7957	N	n/a	07/2015	Incumbent
51-9191.00	2.C.1.f	Personnel and Human Resources	LV	2.15	24	0.5901	0.9330	3.3743	N	N	07/2015	Incumbent
51-9191.00	2.C.2.a	Production and Processing	IM	4.04	24	0.1806	3.6667	4.4140	N	n/a	07/2015	Incumbent
51-9191.00	2.C.2.a	Production and Processing	LV	4.13	24	0.3526	3.4023	4.8612	N	N	07/2015	Incumbent
51-9191.00	2.C.2.b	Food Production	IM	1.20	24	0.1904	1.0000	1.5912	N	n/a	07/2015	Incumbent
51-9191.00	2.C.2.b	Food Production	LV	0.39	24	0.3809	0.0000	1.1824	Y	Y	07/2015	Incumbent
51-9191.00	2.C.3.a	Computers and Electronics	IM	2.76	24	0.3234	2.0941	3.4321	N	n/a	07/2015	Incumbent
51-9191.00	2.C.3.a	Computers and Electronics	LV	3.07	24	0.4409	2.1587	3.9827	N	N	07/2015	Incumbent
51-9191.00	2.C.3.b	Engineering and Technology	IM	2.31	24	0.3888	1.5105	3.1190	N	n/a	07/2015	Incumbent
51-9191.00	2.C.3.b	Engineering and Technology	LV	2.32	24	0.6561	0.9634	3.6777	N	N	07/2015	Incumbent
51-9191.00	2.C.3.c	Design	IM	1.80	24	0.2186	1.3478	2.2523	N	n/a	07/2015	Incumbent
51-9191.00	2.C.3.c	Design	LV	1.27	24	0.3924	0.4544	2.0781	N	N	07/2015	Incumbent
51-9191.00	2.C.3.d	Building and Construction	IM	1.46	24	0.2243	1.0000	1.9256	N	n/a	07/2015	Incumbent
51-9191.00	2.C.3.d	Building and Construction	LV	1.07	24	0.5267	0.0000	2.1558	N	N	07/2015	Incumbent
51-9191.00	2.C.3.e	Mechanical	IM	3.68	24	0.2465	3.1739	4.1939	N	n/a	07/2015	Incumbent
51-9191.00	2.C.3.e	Mechanical	LV	4.05	24	0.4128	3.1992	4.9072	N	N	07/2015	Incumbent
51-9191.00	2.C.4.a	Mathematics	IM	2.97	24	0.2796	2.3888	3.5458	N	n/a	07/2015	Incumbent
51-9191.00	2.C.4.a	Mathematics	LV	2.80	23	0.4680	1.8311	3.7724	N	N	07/2015	Incumbent
51-9191.00	2.C.4.b	Physics	IM	1.95	24	0.1681	1.6020	2.2974	N	n/a	07/2015	Incumbent
51-9191.00	2.C.4.b	Physics	LV	1.48	24	0.3253	0.8109	2.1569	N	N	07/2015	Incumbent
51-9191.00	2.C.4.c	Chemistry	IM	2.46	24	0.2343	1.9781	2.9477	N	n/a	07/2015	Incumbent
51-9191.00	2.C.4.c	Chemistry	LV	3.17	24	0.4494	2.2431	4.1022	N	N	07/2015	Incumbent
51-9191.00	2.C.4.d	Biology	IM	1.21	24	0.1939	1.0000	1.6131	N	n/a	07/2015	Incumbent
51-9191.00	2.C.4.d	Biology	LV	0.41	24	0.3427	0.0000	1.1166	Y	Y	07/2015	Incumbent
51-9191.00	2.C.4.e	Psychology	IM	2.41	24	0.3657	1.6515	3.1643	N	n/a	07/2015	Incumbent
51-9191.00	2.C.4.e	Psychology	LV	2.15	24	0.4331	1.2504	3.0424	N	N	07/2015	Incumbent
51-9191.00	2.C.4.f	Sociology and Anthropology	IM	1.63	24	0.2289	1.1561	2.1031	N	n/a	07/2015	Incumbent
51-9191.00	2.C.4.f	Sociology and Anthropology	LV	1.02	24	0.3846	0.2277	1.8191	N	N	07/2015	Incumbent
51-9191.00	2.C.4.g	Geography	IM	1.31	24	0.1926	1.0000	1.7040	N	n/a	07/2015	Incumbent
51-9191.00	2.C.4.g	Geography	LV	0.77	24	0.4328	0.0000	1.6634	Y	Y	07/2015	Incumbent
51-9191.00	2.C.5.a	Medicine and Dentistry	IM	1.45	24	0.2535	1.0000	1.9739	N	n/a	07/2015	Incumbent
51-9191.00	2.C.5.a	Medicine and Dentistry	LV	0.79	24	0.4408	0.0000	1.7012	Y	N	07/2015	Incumbent
51-9191.00	2.C.5.b	Therapy and Counseling	IM	1.49	24	0.2989	1.0000	2.1041	N	n/a	07/2015	Incumbent
51-9191.00	2.C.5.b	Therapy and Counseling	LV	0.82	24	0.5185	0.0000	1.8891	Y	Y	07/2015	Incumbent
51-9191.00	2.C.6	Education and Training	IM	2.92	24	0.1644	2.5844	3.2646	N	n/a	07/2015	Incumbent
51-9191.00	2.C.6	Education and Training	LV	3.51	24	0.4637	2.5522	4.4706	N	N	07/2015	Incumbent
51-9191.00	2.C.7.a	English Language	IM	3.40	24	0.2171	2.9518	3.8500	N	n/a	07/2015	Incumbent
